model,run,step,subject,rank_mean,rank_median,rank_max,rank_min
LM,1,50,P01,92.43489583333333,57.0,381.0,0.0
LM,1,55,M02,91.06510416666667,61.0,359.0,0.0
LM,1,55,M04,110.08072916666667,72.5,380.0,0.0
LM,1,55,M07,101.59895833333333,67.0,383.0,0.0
LM,1,55,M08,112.24739583333333,73.0,381.0,0.0
LM,1,55,M09,113.42708333333333,83.5,383.0,0.0
LM,1,55,M14,113.34895833333333,84.0,375.0,0.0
LM,1,55,M15,108.53645833333333,76.0,380.0,0.0
LM,1,55,P01,80.59895833333333,45.0,331.0,0.0
LM,1,60,M02,64.19010416666667,35.0,367.0,0.0
LM,1,60,M04,77.83072916666667,50.0,379.0,0.0
LM,1,60,M07,71.4140625,45.0,370.0,0.0
LM,1,60,M08,83.90625,43.0,367.0,0.0
LM,1,60,M09,92.15364583333333,55.0,378.0,0.0
LM,1,60,M14,90.69010416666667,61.0,382.0,0.0
LM,1,60,M15,73.84635416666667,37.0,378.0,0.0
LM,1,60,P01,53.197916666666664,27.0,347.0,0.0
LM,1,65,M02,53.026041666666664,25.0,356.0,0.0
LM,1,65,M04,69.47135416666667,43.5,362.0,0.0
LM,1,65,M07,60.703125,35.0,357.0,0.0
LM,1,65,M08,69.19791666666667,44.0,362.0,0.0
LM,1,65,M09,77.08854166666667,44.5,383.0,0.0
LM,1,65,M14,85.7734375,57.0,381.0,0.0
LM,1,65,M15,68.61979166666667,37.0,380.0,0.0
LM,1,65,P01,44.955729166666664,23.0,339.0,0.0
LM,1,70,M02,100.4609375,69.0,368.0,0.0
LM,1,70,M04,124.37239583333333,88.0,376.0,0.0
LM,1,70,M07,119.73958333333333,92.5,374.0,0.0
LM,1,70,M08,118.08333333333333,86.0,381.0,0.0
